species,genus,family,species.relative,genus.relative
Anisoptera costata,Anisoptera,Dipterocarpaceae,,
Dipterocarpus alatus,Dipterocarpus,Dipterocarpaceae,,
Dipterocarpus gracilis,Dipterocarpus,Dipterocarpaceae,,
Dipterocarpus intricatus,Dipterocarpus,Dipterocarpaceae,,
Dipterocarpus obtusifolius,Dipterocarpus,Dipterocarpaceae,,
Dipterocarpus retusus,Dipterocarpus,Dipterocarpaceae,,
Dipterocarpus rigidus,Dipterocarpus,Dipterocarpaceae,,
Dipterocarpus tuberculatus,Dipterocarpus,Dipterocarpaceae,,
Dipterocarpus turbinatus,Dipterocarpus,Dipterocarpaceae,,
Dipterocarpus zeylanicus,Dipterocarpus,Dipterocarpaceae,,
Hopea chinensis,Hopea,Dipterocarpaceae,,
Hopea hainanensis,Hopea,Dipterocarpaceae,,
Hopea hongayensis,Hopea,Dipterocarpaceae,,
Hopea mollissima,Hopea,Dipterocarpaceae,,
Hopea odorata,Hopea,Dipterocarpaceae,,
Hopea reticulata,Hopea,Dipterocarpaceae,,
Parashorea chinensis,Parashorea,Dipterocarpaceae,,
Shorea assamica,Shorea,Dipterocarpaceae,,
Shorea leprosula,Shorea,Dipterocarpaceae,,
Shorea robusta,Shorea,Dipterocarpaceae,,
Shorea roxburghii,Shorea,Dipterocarpaceae,,
Shorea hypochra,Shorea,Dipterocarpaceae,,
Shorea gratissima,Shorea,Dipterocarpaceae,,
Shorea henryana,Shorea,Dipterocarpaceae,,
Vatica diospyroides,Vatica,Dipterocarpaceae,,
Vatica guangxiensis,Vatica,Dipterocarpaceae,,
Vatica guangxiensissubsp.xishuangbannaensis,Vatica,Dipterocarpaceae,Vatica guangxiensis,Vatica
Vatica mangachapoi,Vatica,Dipterocarpaceae,,
Vatica odorata,Vatica,Dipterocarpaceae,,
Vatica rassak,Vatica,Dipterocarpaceae,,
