chambers,treatment,species,phenology,rootmass,leafmass,leafarea,stemmass,totalmass,leafarearatio,leafmassratio,rootshootratio
1,1,NYPP,1,25.824,46.646,4484.698567,38.099,110.569,40.56018023,0.421872315,0.553616602
1,1,NYPP,1,33.774,31.359,2198.821911,68.946,134.079,16.3994504,0.233884501,1.077011384
1,1,NYPP,1,21.436,19.435,1958.189711,22.753,63.624,30.77753223,0.305466491,1.10295858
1,1,NYPP,1,46.97,34.602,3136.519651,72.296,153.868,20.38448314,0.224881067,1.357435986
1,1,HXS,1,17.46,6.932,1012.220586,7.394,31.786,31.84485579,0.218083433,2.518753606
1,1,HXS,1,29.827,21.408,3213.873162,11.566,62.801,51.17550934,0.340886292,1.3932642
1,1,HXS,1,14.948,10.331,1580.622045,10.039,35.318,44.75400772,0.292513732,1.446907366
1,1,HXS,1,12.272,8.442,1880.891554,9.046,29.76,63.20200113,0.283669355,1.453683961
1,1,JDSL,1,27.876,16.904,1883.180532,24.986,69.766,26.99281214,0.242295674,1.649077142
1,1,JDSL,1,24.467,35.982,8360.847398,22.395,82.844,100.9227874,0.434334412,0.679978878
1,1,JDSL,1,19.977,26.446,3635.06532,22.903,69.326,52.43437267,0.38147304,0.755388339
1,1,JDSL,1,28.123,22.162,2662.334151,28.07,78.355,33.97784636,0.282840916,1.268973919
1,1,DMH,1,27.651,19.16,3513.865659,31.26,78.071,45.00859038,0.245417633,1.443162839
1,1,DMH,1,29.137,25.841,3471.947943,28.547,83.525,41.56776945,0.309380425,1.127549243
1,1,DMH,1,18.112,31.936,4994.384913,21.624,71.672,69.68390604,0.445585445,0.567134269
1,1,DMH,1,20.109,32.459,5402.718958,29.1,81.668,66.15466227,0.397450654,0.61952001
1,1,SQS,2,41.789,15.393,6900.221426,58.908,116.09,59.43855134,0.1325954,2.714805431
1,1,SQS,2,40.082,25.527,9128.974061,34.22,99.829,91.44611347,0.255707259,1.570180593
1,1,SQS,2,36.105,25.387,10898.32228,57.406,118.898,91.66110683,0.213519151,1.422184583
1,1,SQS,2,40.364,26.471,13964.05673,53.078,119.913,116.4515668,0.220751712,1.524838503
1,1,HDG,2,44.961,33.714,9327.17278,74.782,153.457,60.78036701,0.219696723,1.333600285
1,1,HDG,2,83.418,39.006,12175.38518,102.591,225.015,54.10921572,0.173348443,2.138594062
1,1,HDG,2,65.882,33.148,8479.805521,84.222,183.252,46.27401349,0.180887521,1.987510559
1,1,HDG,2,54.695,33.251,10021.50807,73.113,161.059,62.22258967,0.206452294,1.644912935
1,1,DSY,2,30.776,48.698,10032.77053,73.053,152.527,65.77701344,0.31927462,0.631976673
1,1,DSY,2,48.135,51.563,11373.62506,110.01,209.708,54.23553253,0.245879986,0.93351822
1,1,DSY,2,42.905,40.517,8347.319469,88.161,171.583,48.64887238,0.236136447,1.058938223
1,1,DSY,2,43.202,62.785,13705.34369,112.525,218.512,62.72124043,0.287329758,0.68809429
1,1,DSY,2,29.772,26.606,4767.613629,57.838,114.216,41.74208192,0.232944596,1.118995715
1,1,QLQ,2,40.625,23.865,3110.544939,84.442,125.067,24.87102864,0.190817722,1.702283679
1,1,QLQ,2,39.288,34.5,5886.439181,117.284,156.572,37.59573347,0.220345911,1.138782609
1,1,QLQ,2,37.211,20.277,3913.074291,88.946,126.157,31.01749638,0.160728299,1.835133402
1,1,QLQ,2,40.445,32.871,7474.227725,92.406,132.851,56.26022932,0.247427569,1.230415868
2,2,NYPP,1,15.958,24.201,1938.389496,53.197,93.356,20.76341635,0.259233472,0.65939424
2,2,NYPP,1,40.094,30.569,2429.958798,77.817,148.48,16.36556302,0.20587958,1.311590173
2,2,NYPP,1,26.708,36.384,2806.723354,65.7,128.792,21.79268397,0.282502019,0.734058927
2,2,NYPP,1,20.215,50.478,4684.036587,50.353,121.046,38.69633517,0.417015019,0.400471493
2,2,HXS,1,23.971,27.22026549,3429.017724,17.211,68.40226549,50.1301777,0.397943917,0.880630647
2,2,HXS,1,43.143,35.96,4532.386045,25.794,104.897,43.20796634,0.342812473,1.199749722
2,2,HXS,1,39.464,23.344,3095.505379,18.462,81.27,38.08915195,0.287240064,1.690541467
2,2,HXS,1,50.675,35.04,4179.408622,26.71,112.425,37.17508225,0.31167445,1.446204338
2,2,JDSL,1,27.529,42.806,5819.960885,27.055,97.39,59.75932729,0.439531779,0.643110779
2,2,JDSL,1,24.726,45.749,5918.20992,48.094,118.569,49.91363611,0.385842843,0.54047083
2,2,JDSL,1,21.958,40.1,4902.753383,26.897,88.955,55.11498379,0.450789725,0.547581047
2,2,JDSL,1,22.589,29.53,3257.675731,29.006,81.125,40.15624938,0.364006163,0.764950897
2,2,DMH,1,32.085,44.476,6896.899883,50.656,127.217,54.21366549,0.349607364,0.721400306
2,2,DMH,1,53.053,55.565,6939.903684,54.072,162.69,42.65722346,0.341539123,0.954791685
2,2,DMH,1,52.535,71.073,9545.747194,61.352,184.96,51.60979236,0.384261462,0.739169586
