dur,res,educ,mean,n
d0-4,Suva,None,0.5,8
d0-4,Suva,Lower primary,1.139999986,21
d0-4,Suva,Upper primary,0.899999976,42
d0-4,Suva,Secondary+,0.730000019,51
d0-4,Urban,None,1.169999957,12
d0-4,Urban,Lower primary,0.850000024,27
d0-4,Urban,Upper primary,1.049999952,39
d0-4,Urban,Secondary+,0.689999998,51
d0-4,Rural,None,0.970000029,62
d0-4,Rural,Lower primary,0.959999979,102
d0-4,Rural,Upper primary,0.970000029,107
d0-4,Rural,Secondary+,0.74000001,47
d5-9,Suva,None,3.099999905,10
d5-9,Suva,Lower primary,2.670000076,30
d5-9,Suva,Upper primary,2.039999962,24
d5-9,Suva,Secondary+,1.730000019,22
d5-9,Urban,None,4.539999962,13
d5-9,Urban,Lower primary,2.650000095,37
d5-9,Urban,Upper primary,2.680000067,44
d5-9,Urban,Secondary+,2.289999962,21
d5-9,Rural,None,2.440000057,70
d5-9,Rural,Lower primary,2.710000038,117
d5-9,Rural,Upper primary,2.470000029,81
d5-9,Rural,Secondary+,2.24000001,21
d10-14,Suva,None,4.079999924,12
d10-14,Suva,Lower primary,3.670000076,27
d10-14,Suva,Upper primary,2.900000095,20
d10-14,Suva,Secondary+,2,12
d10-14,Urban,None,4.170000076,18
d10-14,Urban,Lower primary,3.329999924,43
d10-14,Urban,Upper primary,3.619999886,29
d10-14,Urban,Secondary+,3.329999924,15
d10-14,Rural,None,4.139999866,88
d10-14,Rural,Lower primary,4.139999866,132
d10-14,Rural,Upper primary,3.940000057,50
d10-14,Rural,Secondary+,3.329999924,9
d15-19,Suva,None,4.210000038,14
d15-19,Suva,Lower primary,4.940000057,31
d15-19,Suva,Upper primary,3.150000095,13
d15-19,Suva,Secondary+,2.75,4
d15-19,Urban,None,4.699999809,23
d15-19,Urban,Lower primary,5.360000134,42
d15-19,Urban,Upper primary,4.599999905,20
d15-19,Urban,Secondary+,3.799999952,5
d15-19,Rural,None,5.059999943,114
d15-19,Rural,Lower primary,5.590000153,86
d15-19,Rural,Upper primary,4.5,30
d15-19,Rural,Secondary+,2,1
d20-24,Suva,None,5.619999886,21
d20-24,Suva,Lower primary,5.059999943,18
d20-24,Suva,Upper primary,3.920000076,12
d20-24,Suva,Secondary+,2.599999905,5
d20-24,Urban,None,5.360000134,22
d20-24,Urban,Lower primary,5.880000114,25
d20-24,Urban,Upper primary,5,13
d20-24,Urban,Secondary+,5.329999924,3
d20-24,Rural,None,6.460000038,117
d20-24,Rural,Lower primary,6.340000153,68
d20-24,Rural,Upper primary,5.739999771,23
d20-24,Rural,Secondary+,2.5,2
d25+,Suva,None,6.599999905,47
d25+,Suva,Lower primary,6.739999771,27
d25+,Suva,Upper primary,5.380000114,8
d25+,Suva,Secondary+,2,1
d25+,Urban,None,6.519999981,46
d25+,Urban,Lower primary,7.510000229,45
d25+,Urban,Upper primary,7.539999962,13
d25+,Rural,None,7.480000019,195
d25+,Rural,Lower primary,7.809999943,59
d25+,Rural,Upper primary,5.800000191,10
